name,city,country_code,size
HĂ´tel Soleil de Saint-Tropez,Grimaud,fr,78
Aliante Casino + Hotel,North Las Vegas (Nevada),us,202
Huangshan Zhaojian Guest House,Huangshan,cn,11
Maridin Hotel,Mardin,tr,32
Olympos Hotel,Oludeniz,tr,27
Hotel Manfredi Suite In Rome,Rome,it,18
AmericInn Lodge & Suites Fergus Falls,Fergus Falls  (Minnesota),us,59
Hotel Mack,Stuttgart,de,27
Norfolk Broads Country Park,Norfolk,gb,21
MIKE Hotel,Fenghuang,cn,14
Plus Hotel Bostanci Atasehir,Ä°stanbul,tr,65
Shkodra Lake KM Zero,Shiroke,al,12
Hotel Quellenhof,Bad Wiessee,de,21
Pousada Bosque dos AruĂŁs,Salvaterra (Para),br,12
Marble AMA Andalucia,Islantilla,es,42
Jetwing Lagoon,Negombo,lk,55
Sunbelt Lodge Motel,Abbeville (Louisiana),us,20
Hampton Inn Horse Cave,Horse Cave (Kentucky),us,101
Hotel Bali Indah,Bandung,id,40
Aroma Nha Trang Boutique Hotel,Nha Trang,vn,50
"Waimea Plantation Cottages, a Coast Resort","Waimea (Kauai, Hawaii)",us,56
Hotel Plaza Sullana,Sullana,pe,20
Haus Breer,Schwerte,de,15
Roma Inland Motor Inn,Roma ,au,25
Kohan No Yado Yoshidaya,Sado,jp,70
Amigdalies,MĂ­rina,gr,12
Hotel Johannes Vermeer Delft,Delft,nl,30
ChĂ˘teau Saint-Martin & Spa,Vence,fr,46
Malibu Village,Canet Plage,fr,70
Somogy Kertje ĂśdĂĽlĹ‘falu Ă©s Ă‰tterem,Bonnya,hu,30
Pension Golser,Cermes,it,11
The White Hart,Great Yeldham,gb,12
Beach Hotel,SiĂłfok,hu,33
Broadway Hotel,Dubai,ae,77
Hotel Oceanic,Rimini,it,66
Rodeway Inn Memphis,Memphis (Tennessee),us,77
The Crown Borneo Hotel,Kota Kinabalu,my,25
Family Hotel Djogolanova Kashta,Koprivshtitsa,bg,12
HĂ´tel Les Rochers,La Balme De Sillingy,fr,22
Shanghai Airlines Travel Hotel,Shanghai,cn,396
Violand Garden Hotel,Samarinda,id,33
Time Apartment,Qingdao,cn,40
Hotel Biancas,Kosakowo,pl,20
Hotel Royal Inn,RÄjkot,in,31
Fairfield Inn & Suites Sudbury,Sudbury (Ontario),ca,81
Red Roof Inn Cleveland - Medina,Medina (Ohio),us,86
Gasthof Velten,Velten,de,22
Hospedaje Familiar,Cuautla Morelos,mx,12
Hotel Wetterstein,MĂĽnchen,de,80
Uozu Manten Hotel Ekimae,Uozu,jp,185
The Briar Court Hotel,Huddersfield,gb,48
HĂ´tel Restaurant Le Bellevue,Thollon Les MĂ©mises,fr,26
GĂ¤stehaus Panorama,Biberwier,at,11
Sandnes Vandrerhjem,Sandnes,no,15
Dormitory Silsil,Hakodate,jp,20
Days Inn Kansas City International Airport,Kansas City (Missouri),us,51
Hampton Inn Nashville-I-24 Hickory Hollow,Antioch (Tennessee),us,86
Courtyard Frederick,Frederick (Maryland),us,90
Sai Ngeun Hotel,Savannakhet,la,33
Comfort Inn and Suites Pittsburgh,Pittsburgh (Pennsylvania),us,55
Hanting Express Zhalantun Qinhe Square,Zhalantun,cn,61
Loharkar Familly Hotel,Nagpur,in,50
DoĂ±a Lola,CastellĂłn de la Plana,es,49
The 1850 House Inn & Tavern,Rosendale (New York),us,11
James Joyce Coffetel Guiyang Xingdao,Guiyang,cn,130
Aippim Hostel,Ubatuba (SĂŁo Paulo),br,22
Hostal y Departamentos San Joaquin,El Quisco,cl,22
Prime Hotel,Nha Trang,vn,64
Akan No Mori Tsuruga Resort Hanayuuka,Kushiro,jp,95
Hotel Ceramica,Iasi,ro,24
Lantian Hotel Wuhan,Wuhan,cn,303
SHADA Hotel,Riyadh,sa,76
ElHotel Malang,Malang,id,104
Chengdu Century Tianxiang Theme Apartment,Chengdu,cn,25
Il Palazzin Hotel,Qawra - St. Paul's Bay,mt,79
Hotel Apolis,Sozopol,bg,30
Hotel Adria,Dubrovnik,hr,116
Mabre Residence,Vilnius,lt,40
Takamatsu Century Hotel,Takamatsu,jp,30
Le Chalet Auberge Des 2 Etangs,GĂ©rardmer,fr,11
Pousada Moderna,Campos do Jordao (Sao Paulo),br,36
Chalet CrepDeChine Hotel,Bukovel,ua,12
De Rhu Beach Resort,Kuantan,my,162
Red Roof Inn Williamsburg,Williamsburg (Virginia),us,44
Boardwalk Resort Hotel and Villas,Virginia Beach (Virginia),us,106
Hotel Shri Radhe Krishna,Godarpura,in,26
Hotel Dierks,"Dedelstorf, Repke",de,17
TRYP by Wyndham Abu Dhabi City Center,Abu Dhabi,ae,146
Dongfanggong Hotel Beijing,Beijing,cn,106
Profilaktoriy KMPO,Kazan,ru,60
Slavyanskaya Traditsiya,Mogilev,by,18
Lakeside,Parentis-en-Born,fr,16
HĂ´tel Brighton - Esprit de France,Paris,fr,62
AG Hotel & Spa,Marrakech,ma,22
"GenX Sundaram, Haldwani",HaldwÄni,in,15
Quality Inn Niagara Falls,Niagara Falls (New York),us,94
Ocean 7,Ocean City (New Jersey),us,73
Salerno On The Beach,Marcoola,au,32
Rydges Fortitude Valley,Brisbane,au,208
VIVA Hotel Milano,Milan,it,56
Park Hotel Diament Wroclaw,WrocĹ‚aw,pl,132
Hotel Edda Egilsstadir,Egilsstadir,is,52
Hotel Kenari Asri,Kudus,id,35
Hotel Palm View Residency,Vadodara,in,24
Txai Resort,Itacare (Bahia),br,38
Afrodita Hotel,Adler,ru,21
"Swan Group of Houseboats, Golden Dal Lake",Srinagar,in,13
Esplendor Montevideo â€“ A Wyndham Grand Hotel,Montevideo,uy,55
Ping Hotel Seminyak Bali,Seminyak,id,51
Wadoma Royale Hotel,Kumasi,gh,45
BenkiraĎŠ Hotel,Saint-Tropez,fr,40
Golden Crown Haifa,Haifa,il,90
Shunhe Yujia Farm Stay,Changdao,cn,20
Antwerp Harbour Hotel,Antwerpen,be,94
Merih Hotel,Bodrum,tr,12
Guesthouse MB Knezevic,Budva,me,15
Sanqingshan Mountain Xilaideng Hotel,Shangrao,cn,120
Hilton Garden Inn Lake Mary,Lake Mary (Florida),us,123
Centralny Hotel,Krivoy Rog,ua,34
Nenghui Star Hotel,Guiyang,cn,52
Hotel Mini-Dacha,Kurortne,ua,21
Subang Valley,Subang Jaya,my,55
Khweza Bed and Breakfast,Nairobi,ke,17
The Mill Hotel / Melnicata,Nessebar,bg,48
Hotel Hanseport Hamburg,Hamburg,de,39
Apartamentos Rurales Antanielles,Ribadesella,es,11
Camping les Grosses Pierres,Saint-Georges-d'OlĂ©ron,fr,250
Nera Hotel,Abuja,ng,100
Sahaa Beach Resort,Sihanoukville,kh,16
Windsor Guest House,Vancouver (British Columbia),ca,12
Contact Hotel - Bagnoles Hotel,Bagnoles de l'Orne,fr,20
Albergue Corredoiras,PadrĂłn,es,26
Park Plaza Orchid Tel Aviv,Tel Aviv,il,203
Jeddah Trident Hotel,Jeddah,sa,216
Lima Duva Resort,Ko Samed,th,48
Radisson Hotel Albany Airport,Colonie (New York),us,312
Centra Inn,New Delhi,in,22
Hotel Splendid View,Pokhara,np,17
Hotel Krone,Bretten,de,53
Xinfulin Inn,Qingjian,cn,20
Hotel Anurag,Rourkela,in,32
Humboldt-Haus,Achberg-Esseratsweiler,de,20
FĂŞnix Hotel Varginha,Varginha (Minas Gerais),br,66
Hostel Stara Polana,Zakopane,pl,17
Green Mansion,Patong Beach,th,15
Hotel Socim,Suceava,ro,34
Hotel Verdi,Lido di Jesolo,it,63
Lozenetz Beach Apartments,Lozenets,bg,12
Treehouse Condos,Indian Point (Missouri),us,50
Marmotel,Pra-Loup,fr,96
Hotel Bali,SĂŁo Paulo,br,38
Gite Le Flourou,Le MonĂŞtier-les-Bains,fr,13
Econo Lodge Thunder Bay,Thunder Bay (Ontario),ca,196
Marriott's StreamSide Birch at Vail,Vail (Colorado),us,24
